Source,Target,Type,Weight
6,51,Undirected,8
6,52,Undirected,13
8,51,Undirected,6
8,52,Undirected,13
15,51,Undirected,8
15,52,Undirected,9
13,51,Undirected,11
13,52,Undirected,11
14,49,Undirected,39
14,51,Undirected,8
14,52,Undirected,12
27,49,Undirected,43
27,51,Undirected,11
27,52,Undirected,13
18,27,Undirected,2
49,51,Undirected,4
49,52,Undirected,2
51,52,Undirected,2
19,51,Undirected,10
30,51,Undirected,6
18,51,Undirected,1
19,52,Undirected,13
30,52,Undirected,9
18,52,Undirected,1
1,50,Undirected,3
1,53,Undirected,10
1,39,Undirected,31
1,54,Undirected,23
1,55,Undirected,26
1,56,Undirected,9
4,53,Undirected,6
4,54,Undirected,15
4,55,Undirected,21
4,56,Undirected,10
21,53,Undirected,11
21,54,Undirected,27
21,55,Undirected,34
21,56,Undirected,13
31,50,Undirected,2
5,31,Undirected,15
31,53,Undirected,9
31,49,Undirected,38
31,54,Undirected,22
31,55,Undirected,29
18,31,Undirected,1
31,56,Undirected,9
5,50,Undirected,3
50,53,Undirected,2
33,50,Undirected,5
39,50,Undirected,3
50,54,Undirected,2
11,50,Undirected,3
10,50,Undirected,5
50,55,Undirected,2
12,50,Undirected,1
50,56,Undirected,2
6,53,Undirected,13
6,33,Undirected,22
6,54,Undirected,27
6,55,Undirected,32
6,56,Undirected,14
7,53,Undirected,12
7,54,Undirected,26
7,55,Undirected,32
7,56,Undirected,13
5,53,Undirected,4
5,33,Undirected,13
5,27,Undirected,18
5,39,Undirected,11
5,54,Undirected,5
5,55,Undirected,6
5,56,Undirected,4
33,53,Undirected,3
8,53,Undirected,11
27,53,Undirected,11
39,53,Undirected,2
49,53,Undirected,2
53,54,Undirected,6
11,53,Undirected,2
15,53,Undirected,4
10,53,Undirected,2
53,55,Undirected,8
12,53,Undirected,3
30,53,Undirected,5
18,53,Undirected,1
53,56,Undirected,4
19,53,Undirected,12
33,39,Undirected,9
33,49,Undirected,10
33,54,Undirected,4
11,33,Undirected,9
33,55,Undirected,4
12,33,Undirected,5
18,33,Undirected,1
33,56,Undirected,3
8,54,Undirected,24
8,55,Undirected,29
8,56,Undirected,12
27,39,Undirected,44
27,54,Undirected,24
11,27,Undirected,47
27,55,Undirected,29
12,27,Undirected,18
27,56,Undirected,10
39,49,Undirected,20
39,54,Undirected,8
10,39,Undirected,12
39,55,Undirected,12
18,39,Undirected,1
39,56,Undirected,4
49,54,Undirected,6
10,49,Undirected,10
49,55,Undirected,8
12,49,Undirected,4
49,56,Undirected,4
11,54,Undirected,6
15,54,Undirected,18
10,54,Undirected,4
54,55,Undirected,14
12,54,Undirected,3
30,54,Undirected,10
18,54,Undirected,1
54,56,Undirected,10
19,54,Undirected,27
11,55,Undirected,5
11,56,Undirected,4
15,55,Undirected,25
15,56,Undirected,11
10,55,Undirected,5
10,56,Undirected,3
12,55,Undirected,5
30,55,Undirected,13
18,55,Undirected,1
55,56,Undirected,9
19,55,Undirected,31
12,56,Undirected,2
30,56,Undirected,9
18,56,Undirected,1
19,56,Undirected,13
38,48,Undirected,9
33,38,Undirected,16
38,57,Undirected,2
38,45,Undirected,14
21,57,Undirected,2
4,57,Undirected,2
3,57,Undirected,2
22,48,Undirected,6
22,33,Undirected,14
22,57,Undirected,2
22,45,Undirected,51
24,48,Undirected,4
33,48,Undirected,8
48,57,Undirected,1
27,48,Undirected,12
12,48,Undirected,1
14,48,Undirected,8
45,48,Undirected,4
43,48,Undirected,5
32,57,Undirected,1
32,45,Undirected,58
24,33,Undirected,11
24,57,Undirected,1
12,24,Undirected,10
24,45,Undirected,41
33,57,Undirected,1
33,43,Undirected,11
8,57,Undirected,1
27,57,Undirected,2
13,57,Undirected,2
12,57,Undirected,1
11,57,Undirected,1
14,57,Undirected,2
45,57,Undirected,1
43,57,Undirected,2
19,57,Undirected,2
27,43,Undirected,83
12,45,Undirected,8
11,45,Undirected,19
43,45,Undirected,41
5,38,Undirected,12
38,58,Undirected,11
10,38,Undirected,14
38,59,Undirected,5
29,38,Undirected,11
17,38,Undirected,14
38,46,Undirected,33
3,58,Undirected,23
3,59,Undirected,5
22,50,Undirected,1
48,50,Undirected,6
50,58,Undirected,2
50,59,Undirected,3
25,50,Undirected,3
29,50,Undirected,2
17,50,Undirected,1
46,50,Undirected,2
21,58,Undirected,44
21,59,Undirected,5
5,22,Undirected,14
22,58,Undirected,34
10,22,Undirected,16
22,59,Undirected,1
22,46,Undirected,87
23,48,Undirected,4
48,58,Undirected,2
10,48,Undirected,8
48,59,Undirected,3
17,48,Undirected,2
5,23,Undirected,14
5,58,Undirected,9
5,59,Undirected,1
23,58,Undirected,30
23,59,Undirected,2
23,46,Undirected,75
6,58,Undirected,37
6,59,Undirected,4
10,58,Undirected,7
8,58,Undirected,41
13,58,Undirected,41
27,58,Undirected,41
58,59,Undirected,1
25,58,Undirected,14
19,58,Undirected,40
29,58,Undirected,6
17,58,Undirected,17
46,58,Undirected,38
10,59,Undirected,2
10,29,Undirected,13
8,59,Undirected,3
13,59,Undirected,5
27,59,Undirected,3
25,59,Undirected,1
19,59,Undirected,3
29,59,Undirected,1
17,59,Undirected,1
46,59,Undirected,3
17,46,Undirected,42
38,47,Undirected,8
38,55,Undirected,9
28,38,Undirected,19
3,55,Undirected,16
4,58,Undirected,18
31,58,Undirected,32
28,31,Undirected,20
31,46,Undirected,74
7,58,Undirected,37
32,55,Undirected,24
32,58,Undirected,33
23,55,Undirected,26
27,47,Undirected,8
39,47,Undirected,4
25,47,Undirected,5
41,47,Undirected,4
47,55,Undirected,1
12,47,Undirected,1
47,58,Undirected,2
19,47,Undirected,8
28,47,Undirected,5
30,47,Undirected,8
46,47,Undirected,4
37,47,Undirected,2
24,55,Undirected,19
24,58,Undirected,23
24,46,Undirected,55
14,55,Undirected,25
14,58,Undirected,33
27,41,Undirected,24
39,58,Undirected,10
28,39,Undirected,12
39,46,Undirected,32
25,55,Undirected,11
13,55,Undirected,33
41,55,Undirected,5
41,58,Undirected,6
28,41,Undirected,16
41,46,Undirected,17
55,58,Undirected,12
28,55,Undirected,5
46,55,Undirected,22
37,55,Undirected,7
15,58,Undirected,30
12,58,Undirected,4
12,28,Undirected,6
12,46,Undirected,9
28,58,Undirected,6
30,58,Undirected,15
37,58,Undirected,8
38,60,Undirected,13
9,38,Undirected,19
35,38,Undirected,4
3,60,Undirected,26
22,60,Undirected,38
22,47,Undirected,5
22,35,Undirected,4
4,60,Undirected,26
21,60,Undirected,49
7,60,Undirected,44
32,60,Undirected,33
33,60,Undirected,5
33,47,Undirected,2
29,33,Undirected,7
34,48,Undirected,2
48,60,Undirected,2
47,48,Undirected,1
34,60,Undirected,11
29,34,Undirected,4
47,60,Undirected,2
24,60,Undirected,29
9,60,Undirected,29
35,60,Undirected,3
8,60,Undirected,45
10,60,Undirected,5
27,60,Undirected,41
13,60,Undirected,46
43,60,Undirected,33
29,60,Undirected,6
45,60,Undirected,23
19,60,Undirected,45
28,60,Undirected,5
46,60,Undirected,37
35,47,Undirected,1
8,47,Undirected,7
10,47,Undirected,1
43,47,Undirected,5
29,47,Undirected,1
45,47,Undirected,2
24,35,Undirected,7
10,24,Undirected,13
9,43,Undirected,43
35,43,Undirected,4
35,45,Undirected,7
10,43,Undirected,10
29,43,Undirected,7
28,43,Undirected,19
43,46,Undirected,72
29,45,Undirected,6
38,61,Undirected,5
38,62,Undirected,11
21,61,Undirected,5
21,62,Undirected,18
24,50,Undirected,1
50,61,Undirected,2
50,62,Undirected,1
3,61,Undirected,4
3,62,Undirected,17
4,59,Undirected,4
4,61,Undirected,5
4,62,Undirected,15
48,61,Undirected,3
48,55,Undirected,3
48,62,Undirected,1
32,59,Undirected,4
32,61,Undirected,5
32,62,Undirected,17
33,59,Undirected,4
33,61,Undirected,2
33,62,Undirected,4
7,59,Undirected,3
7,61,Undirected,4
7,62,Undirected,15
24,59,Undirected,2
24,49,Undirected,26
24,61,Undirected,2
24,62,Undirected,10
8,61,Undirected,3
8,62,Undirected,15
15,59,Undirected,4
15,61,Undirected,3
15,62,Undirected,14
13,61,Undirected,5
13,62,Undirected,19
49,59,Undirected,3
59,61,Undirected,2
55,59,Undirected,2
59,62,Undirected,2
30,59,Undirected,2
49,61,Undirected,4
49,62,Undirected,8
55,61,Undirected,1
27,61,Undirected,4
61,62,Undirected,1
30,61,Undirected,3
46,61,Undirected,2
